System Epoch,Device,Category,E4 Epoch,Value
1669786387191,E4,Gsr,1669786387.215,1.541426
1669786388653,E4,Gsr,1669786387.465,1.535022
1669786388653,E4,Gsr,1669786387.715,1.53246
1669786388654,E4,Gsr,1669786387.965,1.527337
1669786388654,E4,Gsr,1669786388.215,1.520933
1669786388654,E4,Gsr,1669786388.465,1.522214
1669786388654,E4,Gsr,1669786388.715,1.517091
1669786390161,E4,Gsr,1669786388.965,1.513249
1669786390161,E4,Gsr,1669786389.215,1.513249
1669786390162,E4,Gsr,1669786389.465,1.513249
1669786390162,E4,Gsr,1669786389.715,1.51581
1669786390162,E4,Gsr,1669786389.965,1.519652
1669786390162,E4,Gsr,1669786390.215,1.523495
1669786391670,E4,Gsr,1669786390.465,1.51581
1669786391670,E4,Gsr,1669786390.715,1.517091
1669786391671,E4,Gsr,1669786390.965,1.504283
1669786391671,E4,Gsr,1669786391.215,1.504283
1669786391671,E4,Gsr,1669786391.465,1.503002
1669786391671,E4,Gsr,1669786391.715,1.500441
1669786393154,E4,Gsr,1669786391.965,1.496598
1669786393154,E4,Gsr,1669786392.215,1.503002
1669786393154,E4,Gsr,1669786392.465,1.504283
1669786393154,E4,Gsr,1669786392.715,1.501721
1669786393154,E4,Gsr,1669786392.965,1.503002
1669786393154,E4,Gsr,1669786393.215,1.495317
1669786394662,E4,Gsr,1669786393.465,1.495317
1669786394662,E4,Gsr,1669786393.715,1.490194
1669786394662,E4,Gsr,1669786393.965,1.492756
1669786394662,E4,Gsr,1669786394.215,1.488914
1669786394662,E4,Gsr,1669786394.465,1.491475
1669786394662,E4,Gsr,1669786394.715,1.500441
1669786396169,E4,Gsr,1669786394.965,1.51581
1669786396169,E4,Gsr,1669786395.215,1.533741
1669786396170,E4,Gsr,1669786395.465,1.550391
1669786396170,E4,Gsr,1669786395.715,1.556795
1669786396170,E4,Gsr,1669786395.965,1.558076
1669786396170,E4,Gsr,1669786396.215,1.563199
1669786397656,E4,Gsr,1669786396.465,1.561919
1669786397656,E4,Gsr,1669786396.715,1.554234
1669786397656,E4,Gsr,1669786396.965,1.54783
1669786397656,E4,Gsr,1669786397.215,1.540145
1669786397657,E4,Gsr,1669786397.465,1.53246
1669786397657,E4,Gsr,1669786397.715,1.53118
1669786399161,E4,Gsr,1669786397.965,1.529899
1669786399161,E4,Gsr,1669786398.215,1.53118
1669786399164,E4,Gsr,1669786398.465,1.527337
1669786399164,E4,Gsr,1669786398.715,1.53118
1669786399164,E4,Gsr,1669786398.965,1.529899
1669786399164,E4,Gsr,1669786399.215,1.53246
1669786400669,E4,Gsr,1669786399.465,1.53246
1669786400669,E4,Gsr,1669786399.715,1.526056
1669786400669,E4,Gsr,1669786399.965,1.526056
1669786400669,E4,Gsr,1669786400.215,1.519652
1669786400669,E4,Gsr,1669786400.465,1.51581
1669786400669,E4,Gsr,1669786400.715,1.51581
1669786402179,E4,Gsr,1669786400.965,1.510687
1669786402179,E4,Gsr,1669786401.215,1.513249
1669786402180,E4,Gsr,1669786401.465,1.511968
1669786402180,E4,Gsr,1669786401.715,1.505564
1669786402180,E4,Gsr,1669786401.965,1.501721
1669786402180,E4,Gsr,1669786402.215,1.49916
1669786403661,E4,Gsr,1669786402.465,1.492756
1669786403661,E4,Gsr,1669786402.715,1.490194
1669786403662,E4,Gsr,1669786402.965,1.488914
1669786403662,E4,Gsr,1669786403.215,1.48379
1669786403662,E4,Gsr,1669786403.465,1.486352
1669786403662,E4,Gsr,1669786403.715,1.48379
1669786405169,E4,Gsr,1669786403.965,1.478667
1669786405169,E4,Gsr,1669786404.215,1.476106
1669786405170,E4,Gsr,1669786404.465,1.473544
1669786405170,E4,Gsr,1669786404.715,1.468421
1669786405170,E4,Gsr,1669786404.965,1.468421
1669786405170,E4,Gsr,1669786405.215,1.468421
1669786406654,E4,Gsr,1669786405.465,1.465859
1669786406654,E4,Gsr,1669786405.715,1.460736
1669786406655,E4,Gsr,1669786405.965,1.455613
1669786406655,E4,Gsr,1669786406.215,1.456894
1669786406655,E4,Gsr,1669786406.465,1.458174
1669786406655,E4,Gsr,1669786406.715,1.45049
1669786408162,E4,Gsr,1669786407.215,1.447928
1669786408162,E4,Gsr,1669786406.965,1.449209
1669786408163,E4,Gsr,1669786407.465,1.442805
1669786408163,E4,Gsr,1669786407.715,1.438963
1669786408163,E4,Gsr,1669786407.965,1.466941
1669786408163,E4,Gsr,1669786408.215,1.46566
1669786409669,E4,Gsr,1669786408.465,1.46566
1669786409669,E4,Gsr,1669786408.715,1.464379
1669786409669,E4,Gsr,1669786408.965,1.46566
1669786409669,E4,Gsr,1669786409.215,1.470783
1669786409669,E4,Gsr,1669786409.465,1.461818
1669786409669,E4,Gsr,1669786409.715,1.457975
1669786411154,E4,Gsr,1669786409.965,1.459256
1669786411154,E4,Gsr,1669786410.215,1.459256
1669786411155,E4,Gsr,1669786410.465,1.460537
1669786411155,E4,Gsr,1669786410.715,1.460537
1669786411155,E4,Gsr,1669786410.965,1.46566
1669786411155,E4,Gsr,1669786411.215,1.468222
1669786412685,E4,Gsr,1669786411.465,1.464379
1669786412685,E4,Gsr,1669786411.715,1.463098
1669786412685,E4,Gsr,1669786411.965,1.460537
1669786412685,E4,Gsr,1669786412.215,1.457975
1669786412685,E4,Gsr,1669786412.465,1.463098
1669786412685,E4,Gsr,1669786412.715,1.466941
1669786414169,E4,Gsr,1669786412.965,1.468222
1669786414169,E4,Gsr,1669786413.215,1.475906
1669786414170,E4,Gsr,1669786413.465,1.48103
1669786414170,E4,Gsr,1669786413.715,1.487433
1669786414170,E4,Gsr,1669786413.965,1.500241
1669786414170,E4,Gsr,1669786414.215,1.510488
1669786415654,E4,Gsr,1669786414.465,1.516892
1669786415654,E4,Gsr,1669786414.715,1.522015
1669786415655,E4,Gsr,1669786414.965,1.520734
1669786415655,E4,Gsr,1669786415.215,1.518173
1669786415655,E4,Gsr,1669786415.465,1.513049
1669786415655,E4,Gsr,1669786415.715,1.507926
